ups_address,lat,long,opens,closes,customer_care_center
"154 Cobblestone Ct Dr, Victor, NY 14564",43.05450539,-77.43184416,8:00:00 AM,7:00:00 PM,No
"1900 Empire Blvd, Webster, NY 14580",43.21200076,-77.51102866,8:00:00 AM,7:00:00 PM,No
"144 Fairport Village Landing, Fairport, NY 14450",43.12820479,-77.42252834,8:30:00 AM,7:00:00 PM,No
"3349 Monroe Ave, Plaza, Rochester, NY 14618",43.13273725,-77.53742349,8:30:00 AM,7:00:00 PM,No
"3177 Latta Rd, Rochester, NY 14612",43.28664071,-77.69579249,8:00:00 AM,7:00:00 PM,No
"620 Park Ave, Rochester, NY 14607",43.17691104,-77.57158151,8:30:00 AM,7:00:00 PM,No
"8145 Canaseraga Rd, Arkport, NY 14807",42.45481171,-77.70631285,5:00:00 PM,6:00:00 PM,Yes
"11 Alex Dr, Horseheads, NY 14845",42.19245193,-76.80794395,4:30:00 PM,6:00:00 PM,Yes
"110 N Main St, Horseheads, NY 14845",42.18207187,-76.82662269,8:00:00 AM,6:30:00 PM,No
"4 Van Rd, Gloversville, NY 12078",43.06466679,-74.3542943,5:00:00 PM,6:00:00 PM,Yes
"1756 Black River Blvd, Rome, NY 13440",43.27527929,-75.41321053,8:00:00 AM,6:30:00 PM,Yes
"10 Ellinwood Dr, New Hartford, NY 13413",43.13513931,-75.31433358,2:00:00 PM,5:00:00 PM,Yes
"184 N Genesee St, Utica, NY 13502",43.15317534,-75.20721688,8:00:00 AM,6:30:00 PM,No
"5880 Success Dr, Rome, NY 13440",43.2812781,-75.52582039,3:30:00 PM,6:00:00 PM,Yes
"219 Brigham Rd, Dunkirk, NY 14048",42.53892329,-79.35298046,4:30:00 PM,5:30:00 PM,Yes
"71 Browne St, Oneonta, NY 13820",42.46281911,-75.11231162,3:30:00 PM,5:30:00 PM,Yes
"14 N Franklin St, Cortland, NY 13045",42.66350882,-76.1908498,4:00:00 PM,6:00:00 PM,Yes
"10 Dutch Mill Rd, Ithaca, NY 14850",42.55947842,-76.46790196,3:00:00 PM,6:00:00 PM,Yes
"407 College Ave, Ithaca, NY 14850",42.49906117,-76.49334553,8:00:00 AM,6:30:00 PM,No
"27 Fennell St Ste B, Skaneateles, NY 13152",43.00557588,-76.44811252,8:00:00 AM,6:30:00 PM,No
"300 Liberty Commons, Geneva, NY 14456",42.90626076,-77.02200629,8:00:00 AM,6:00:00 PM,No
"144 Genesee St Ste 102, Auburn, NY 13021",42.93466661,-76.56885977,8:00:00 AM,6:00:00 PM,No
"175 Broad St, Glens Falls, NY 12801",43.31684694,-73.66170594,8:00:00 AM,6:30:00 PM,No
"26F Congress St, Saratoga Springs, NY 12866",43.08713274,-73.7943803,10:30:00 AM,6:30:00 PM,No
"680 NY-211 East, Middltown, NY 10941",41.51986356,-74.35123275,8:30:00 AM,6:00:00 PM,No
"367 Windsor Hwy, New Windsor, NY 12553",41.5233977,-74.06801302,8:30:00 AM,7:00:00 PM,No
"827 NY-82 Ste 10, Hopewell Junction, NY 12533",41.65402502,-73.81783559,8:30:00 AM,7:00:00 PM,No
"228 NY-59, Nanuet, NY 10954",41.14814663,-74.03429269,8:00:00 AM,6:30:00 PM,No
"865 Route 58, Riverhead, NY 11901",41.04438104,-72.72008646,8:30:00 AM,7:00:00 PM,No
"338 Jericho Turnpike, Syosset, NY 11791",40.97024919,-73.59709588,8:30:00 AM,6:30:00 PM,No
"176-25 Union Tpke, Queens, NY 11366",40.7692866,-73.79088681,9:00:00 AM,7:00:00 PM,No
"260 Kings Mall Ct, Kingston, NY 12401",41.99759482,-73.97482514,8:00:00 AM,7:00:00 PM,No
"6565 Spring Brook Ave Ste 8, Rhinebeck, NY 12572",41.98534653,-73.92538666,8:00:00 AM,6:00:00 PM,No
"160 Fairview Ave Ste 133, Hudson, NY 12534",42.26685111,-73.76658108,8:00:00 AM,6:30:00 PM,No
