team,date,order,SH_SITE_ID,location,Distance.from.Home.Base,Drive_time,total.trip.time,STATUS,total_num_sites
3,7/14/2020,1,12-PLOT-0.2,"42.84583 , -74.0125",30,3.5,7.25,WAVE,5
3,7/14/2020,2,12-OTSO-1.1,"42.9268 , -74.6969",60,3.5,7.25,Unassessed,5
3,7/14/2020,3,12-OTSO_T3-1.2,"42.919293 , -74.692776",60,3.5,7.25,Probabilistic,5
3,7/14/2020,4,12-BRIM-0.5,"42.83972 , -74.61",60,3.5,7.25,Long Term Trend,5
3,7/14/2020,5,12-CAJO-5.1,"42.87611 , -74.60333",60,3.5,7.25,Long Term Trend,5
3,7/15/2020,1,12-BLRS-0.2,"43.241043 , -74.906346",80,5,8.75,Unassessed,5
3,7/15/2020,2,12-CANW_T39-0.6,"43.205528 , -75.022942",80,5,8.75,Unassessed,5
3,7/15/2020,3,12-CANW-20.3,"43.21868 , -75.0576",80,5,8.75,Long Term Trend,5
3,7/15/2020,4,12-NMIL-13.9,"43.2159 , -75.1794",100,5,8.75,Probabilistic,5
3,7/15/2020,5,12-SAUQ-1.7,"43.11306 , -75.29444",100,5,8.75,Long Term Trend,5
3,7/16/2020,1,12-SCHO_T93_b-1.8,"42.53298 , -74.387244",60,4,7,Probabilistic,4
3,7/16/2020,2,12-BATV_T10-3.7,"42.345565 , -74.281966",60,4,7,Reference,4
3,7/16/2020,3,12-BATV-10.1,"42.30278 , -74.2725",60,4,7,Long Term Trend,4
3,7/16/2020,4,12-BATV_T26-0.1,"42.292032 , -74.129358",60,4,7,Reference,4
