team,date,order,SH_SITE_ID,location,Distance.from.Home.Base,Drive_time,total.trip.time,STATUS,total_num_sites
4,7/14/2020,1,12-CAYA-4.7,"42.98667 , -74.43027",60,3,6.75,Long Term Trend,5
4,7/14/2020,2,12-SPIT-2.3,"43.022427 , -74.507897",60,3,6.75,Unassessed,5
4,7/14/2020,3,12-CAYA-15.4,"43.06778 , -74.35806",60,3,6.75,Probabilistic,5
4,7/14/2020,4,12-MATT-0.4,"43.02028 , -74.37527",60,3,6.75,Long Term Trend,5
4,7/14/2020,5,12-VRKL-0.1,"42.886726 , -74.052164",30,3,6.75,Unassessed,5
4,7/15/2020,1,12-MOYR_T2-0.1,"43.024833 , -75.106771",80,5,8.75,Unassessed,5
4,7/15/2020,2,12-ORSK-0.9,"43.15556 , -75.33167",100,5,8.75,Long Term Trend,5
4,7/15/2020,3,12-SIXM-1.6,"43.21139 , -75.3825",100,5,8.75,Long Term Trend,5
4,7/15/2020,4,12-MOHK-124.0,"43.21778 , -75.43166",100,5,8.75,Long Term Trend,5
4,7/15/2020,5,12-BARK-0.6,"42.935398 , -75.48748",100,5,8.75,Unassessed,5
4,7/16/2020,1,12-ALLN-1.8,"42.20993 , -74.153927",60,3,6.75,Unassessed,5
4,7/16/2020,2,12-WBECK-0.1,"42.186186 , -74.189888",60,3,6.75,Unassessed,5
4,7/16/2020,3,12-SHAN-0.1,"42.2067 , -74.2075",60,3,6.75,Unassessed,5
4,7/16/2020,4,12-SCHO-79.0,"42.21639 , -74.24277",60,3,6.75,Long Term Trend,5
4,7/16/2020,5,12-BATV-14.8,"42.295294 , -74.349868",60,3,6.75,Probabilistic,5
