team,date,order,SH_SITE_ID,location,Distance.from.Home.Base,Drive_time,total.trip.time,STATUS,total_num_sites
2,7/14/2020,1,12-SCHU-4.8,"42.893463 , -74.224261",30,2.5,7,Long Term Trend/department interest,6
2,7/14/2020,2,12-SCHU-5.3,"42.889896 , -74.219497",30,2.5,7,Long Term Trend/department interest,6
2,7/14/2020,3,12-SCHO_T23-1.0,"42.878114 , -74.261566",NA,2.5,7,Probabilistic,6
2,7/14/2020,4,12-MOHK_T59_1-3.0,"42.934113 , -74.093519",30,2.5,7,Probabilistic,6
2,7/14/2020,5,12-ALPL-16.1,"42.9745 , -74.0199",30,2.5,7,Long Term Trend,6
2,7/14/2020,6,12-ALPL_T11-2.1,"42.951982 , -73.985737",30,2.5,7,WAVE,6
2,7/15/2020,1,12-CANW_S-6.3,"43.39944 , -74.74055",80,5,8.75,Reference,5
2,7/15/2020,2,12-BIGW-0.1,"43.43743 , -74.8309",80,5,8.75,Reference,5
2,7/15/2020,3,12-CANW_T69-1.1,"43.382669 , -74.900615",80,5,8.75,Probabilistic,5
2,7/15/2020,4,12-ASHC-2.8,"43.31827 , -74.97597",80,5,8.75,Unassessed,5
2,7/15/2020,5,12-CANW-41.1,"43.35444 , -74.99805",80,5,8.75,Reference,5
2,7/16/2020,1,12-FOX-1.1,"42.67889 , -74.30473",30,4,7.75,Probabilistic,5
2,7/16/2020,2,12-WESK_T5-0.1,"42.499 , -74.535",60,4,7.75,Reference,5
2,7/16/2020,3,12-RICW-0.4,"42.652215 , -74.624362",60,4,7.75,Unassessed,5
2,7/16/2020,4,12-WESC-14.6,"42.733247 , -74.617944",60,4,7.75,Probabilistic,5
2,7/16/2020,5,12-COBL-T3_2-2.8,"42.660134 , -74.441694",60,4,7.75,Unassessed,5
